,a,b
0,0.14438881085345412,1
1,0.15465300716192065,1
2,0.09916969470274872,1
3,0.7304350361251394,4
4,0.36849821317891285,1
5,0.32196354647866143,1
6,0.10073713605631163,1
7,0.073450199501093,1
8,0.7534578962343916,4
9,0.7650875540898341,4
10,0.7044238965940167,4
11,0.9005467490518887,4
12,0.582967414104986,4
13,0.5770360915621155,4
14,0.368436774949532,1
15,0.31629498401333245,1
16,0.5384761563057513,4
17,0.6792046982009381,4
18,0.04151710533614983,1
19,0.7565420744515738,4
20,0.9072364138246874,4
21,0.6108359218960258,4
22,0.458000977919901,1
23,0.4409707055374953,1
24,0.5126949517162265,4
25,0.7259273441509865,4
26,0.6276359148041823,4
27,0.8727381265548859,4
28,0.5046692714481825,4
29,0.3894446724659679,1
30,0.8556114196867753,4
31,0.5061084192187508,4
32,0.8786377025155324,4
33,0.3094103582998946,1
34,0.4736670732186997,1
35,0.639451884622867,4
36,0.2639370562976284,1
37,0.5516047201458706,4
38,0.7393460949194115,4
39,0.38372694847415467,1
40,0.9427241293738449,4
41,0.090493000064652,1
42,0.6007570549262214,4
43,0.19044132091532817,1
44,0.8760504092312034,4
45,0.32957738693006533,1
46,0.3323184426956225,1
47,0.47820342423466655,1
48,0.5319928364798517,4
49,0.2867739020202137,1
50,0.8828313117330595,4
51,0.5052008009734636,4
52,0.3088682877459028,1
53,0.1392300171773696,1
54,0.5360832318053659,4
55,0.35862429875636415,1
56,0.7993756110942626,4
57,0.0476292220624166,1
58,0.9930476430093528,4
59,0.10660291020697876,1
60,0.8615902056097583,4
61,0.3139422704502134,1
62,0.8230314078758393,4
63,0.3483332608120453,1
64,0.820373928336468,4
65,0.17813592702205128,1
66,0.21356478768117326,1
67,0.3381493526493071,1
68,0.9959350002026038,4
69,0.6096129333819584,4
70,0.4435254756512952,1
71,0.36216845382673846,1
72,0.8090093235323093,4
73,0.07117200213878028,1
74,0.8622806658643806,4
75,0.4277287975961709,1
76,0.9599488300340543,4
77,0.9469348829936347,4
78,0.8386867065246503,4
79,0.029571120421485242,1
80,0.39982301089127004,1
81,0.576248344078061,4
82,0.025917165696921263,1
83,0.9742781289300244,4
84,0.9235255953584485,4
85,0.251827777029233,1
86,0.4614699713052077,1
87,0.1165461017841034,1
88,0.7490099018105026,4
89,0.028374118734767695,1
90,0.35074469205084213,1
91,0.480890783819963,1
92,0.4428943570723053,1
93,0.8081044383220443,4
94,0.18202043478949992,1
95,0.6593790960659561,4
96,0.7726833371471935,4
97,0.9597732799133549,4
98,0.6802704336297788,4
99,0.999153764557813,4
100,0.6777067826248176,4
101,0.7020555853257399,4
102,0.23807121081987692,1
103,0.3082954983646653,1
104,0.20714808612596847,1
105,0.9003805750988364,4
106,0.15952310320810148,1
107,0.6382516550294246,4
108,0.8845233898878724,4
109,0.7827680169606105,4
110,0.02426844792511773,1
111,0.11277313187469828,1
112,0.9431756427331606,4
113,0.10275530215370132,1
114,0.19368879460454558,1
115,0.3703511653691135,1
116,0.4713921023609874,1
117,0.41922916987366277,1
118,0.8039635474418947,4
119,0.10824733018344246,1
120,0.9853381351098456,4
121,0.8421095760509197,4
122,0.15538545842335105,1
123,0.5569477319081109,4
124,0.5513057921419107,4
125,0.09275996536389142,1
126,0.9287197388828446,4
127,0.2815029413865401,1
128,0.7623871866899324,4
129,0.8064309580557167,4
130,0.7411826717840282,4
131,0.735662988672722,4
132,0.18979677838088627,1
133,0.9418455937784634,4
134,0.40418262816611483,1
135,0.11025471855927593,1
136,0.06454783728695135,1
137,0.3355981058293337,1
138,0.8971493626720966,4
139,0.4342912465968307,1
140,0.1556735273764852,1
141,0.0185540072095306,1
142,0.4344118425201391,1
143,0.3586919510162673,1
144,0.8754087735676883,4
145,0.43173763339717686,1
146,0.2856078169194862,1
147,0.0066336535704319965,1
148,0.5245873865611097,4
149,0.6927278414792483,4
150,0.551444744141445,4
151,0.40842115282771607,1
152,0.3922355710026587,1
153,0.8606573707862015,4
154,0.7928372575096364,4
155,0.6993949057989385,4
156,0.7113420055914075,4
157,0.6726829462353436,4
158,0.7729154801514482,4
159,0.4211063870306839,1
160,0.7889352368041294,4
161,0.8899029113455947,4
162,0.8185500908897438,4
163,0.07259685315725439,1
164,0.22861055951212272,1
165,0.28054393574284897,1
166,0.4572641896986799,1
167,0.8127702010132346,4
168,0.31720877179333784,1
169,0.9552421829170791,4
170,0.6476836824975717,4
171,0.4909309234928946,1
172,0.940686447316107,4
173,0.2697352819127977,1
174,0.18068732482216543,1
175,0.8741679331873412,4
176,0.23951301897381805,1
177,0.6148028011713866,4
178,0.06136014023132352,1
179,0.0618070716905037,1
180,0.22174126967603236,1
181,0.635550337897935,4
182,0.8061645595887,4
183,0.5121001017037615,4
184,0.4618529155767436,1
185,0.14820307376735697,1
186,0.5988814523406484,4
187,0.76592628805345,4
188,0.09091318062770459,1
189,0.6115020969124174,4
190,0.7974202657633307,4
191,0.9099574582019182,4
192,0.6928875853121724,4
193,0.9114577343880831,4
194,0.817814329188206,4
195,0.8401028117339946,4
196,0.15446242113020292,1
197,0.20521568812701485,1
198,0.5944500310588738,4
199,0.3671879782622156,1
200,0.7375881810190736,4
201,0.6959096693664693,4
202,0.3764912819308457,1
203,0.7430274384791811,4
204,0.6022365916372517,4
205,0.8070781347891742,4
206,0.21240136700678325,1
207,0.29389768801678984,1
208,0.6891525993704232,4
209,0.8949497901286662,4
210,0.1164030633676596,1
211,0.019141986838563274,1
212,0.30522566816178875,1
213,0.2900267202412181,1
214,0.6748958879736319,4
215,0.6408038783755334,4
216,0.1659015783958454,1
217,0.6204615935225737,4
218,0.9005028487674982,4
219,0.3508915317305046,1
220,0.024659802484764293,1
221,0.6309389519520439,4
222,0.10392197258518654,1
223,0.9532661876790559,4
224,0.222050100760821,1
225,0.16174135939612821,1
226,0.5160141777424602,4
227,0.5857210289026743,4
228,0.2009685916598084,1
229,0.5983736499062969,4
230,0.06539330048304859,1
231,0.06986440256077064,1
232,0.409679590454882,1
233,0.33422162568379443,1
234,0.6161206423599036,4
235,0.08630156474064032,1
236,0.17629989964492288,1
237,0.7790179049429982,4
238,0.6066094102490446,4
239,0.8452337695013156,4
240,0.4218152783115937,1
241,0.23647400607952662,1
242,0.9437718151810748,4
243,0.44878501553650074,1
244,0.8620861234219822,4
245,0.513211619584936,4
246,0.7192174953288256,4
247,0.863976289881776,4
248,0.06074087691586716,1
249,0.2692945088377724,1
250,0.718858091214771,4
251,0.11998117506665362,1
252,0.8233582598645044,4
253,0.5335724498565282,4
254,0.18738283714506787,1
255,0.6061913588895196,4
256,0.9441052147381094,4
257,0.2935950898049744,1
258,0.7071580678600005,4
259,0.6536091897647305,4
260,0.031135870172106506,1
261,0.9201808598550769,4
262,0.8586107622458662,4
263,0.8651519004202115,4
264,0.4669251231631637,1
265,0.5509371466380218,4
266,0.442784183490209,1
267,0.6035845608708493,4
268,0.6978322055748353,4
269,0.2428102047066546,1
270,0.8752922212521199,4
271,0.4144763674712776,1
272,0.471400048888841,1
273,0.6658632407297884,4
274,0.7273175603005912,4
275,0.9226813875834237,4
276,0.5832704919904875,4
277,0.8867949481363895,4
278,0.3532229986679897,1
279,0.4957849401436364,1
280,0.39009832947606105,1
281,0.3134642879372961,1
282,0.19744150416816242,1
283,0.6395841809964635,4
284,0.44754462608049617,1
285,0.3581883803589869,1
286,0.869286203139015,4
287,0.7819325782407522,4
288,0.9854106970146205,4
289,0.6084251171709131,4
290,0.9450185068096107,4
291,0.6566416559353524,4
292,0.08999524871427678,1
293,0.004313220524528538,1
294,0.3390889901549363,1
295,0.5038890893572833,4
296,0.7337953063990439,4
297,0.35841932024530554,1
298,0.14317928140832004,1
299,0.26101173997882754,1
300,0.9810824367164591,4
301,0.6373481069921767,4
302,0.8382561697726308,4
303,0.5826656084265613,4
304,0.44306974357383133,1
305,0.5218756812023837,4
306,0.9345771563724242,4
307,0.003308672210868835,1
308,0.6370579615514692,4
309,0.8828210731490908,4
310,0.8071431558633391,4
311,0.7882304284697617,4
312,0.1651814897138828,1
313,0.5761209711686567,4
314,0.687639666774322,4
315,0.5033090931618756,4
316,0.7526803975958332,4
317,0.9964444620004383,4
318,0.1781102384353388,1
319,0.0369703139635057,1
320,0.34874933107082673,1
321,0.6925094623655789,4
322,0.6869718546798163,4
323,0.32698495033033015,1
324,0.32020633518432784,1
325,0.5616893433274813,4
326,0.6510159547755304,4
327,0.323147020237216,1
328,0.8251073719617673,4
329,0.6007301136529976,4
330,0.4079911636679997,1
331,0.30932375534079515,1
332,0.555747508110662,4
333,0.177725361716079,1
334,0.024902232319470086,1
335,0.9863931847479736,4
336,0.9953982519522355,4
337,0.19832339673763544,1
338,0.2169687639859268,1
339,0.5628650511441831,4
340,0.29028894100931857,1
341,0.24863735648870877,1
342,0.7804724742006808,4
343,0.07574704693927581,1
344,0.7051994225239702,4
345,0.3403225028883884,1
346,0.9525125912110513,4
347,0.5441916689683519,4
348,0.6731337598275698,4
